store_id,store_name,addr_id,addr_num,addr_st,addr_add,city,state,zip5,store_type,stype_num,store_group,stgrp_num,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020_Jan,Y2020,X,Y,method,match
st_230155,Publix 1279,A266948,7334,Spout Springs Rd,NA,Flowery Branch,GA,30542,Supermarket,16,Supermarket,6,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-83.87482,34.11078,usda,NA
st_230196,AIRPORT FOOD MART,A022846,5181,W Fayetteville Rd,Unit A,Atlanta,GA,30349,Convenience Store,3,Small retail,4,0,1,1,1,1,1,0,0,0,0,0,0,0,0,-84.44929058,33.61408457,esri,PointAddress
st_230197,Lagrange Happy Stop,A213229,2911,Hamilton Rd,NA,Lagrange,GA,30241,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-84.99283,32.98122,usda,NA
st_230200,Best Food Mart,A043006,4666,Jonesboro Rd,Ste 102,Forest Park,GA,30297,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,0,0,0,0,0,0,0,-84.35546269,33.6269967,esri,PointAddress
st_230206,Food Mart,A158294,6333,Highway 42,NA,Rex,GA,30273,Convenience Store,3,Small retail,4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,-84.29067,33.58088,usda,NA
st_230211,SHELL FOOD MART,A298491,978,Athens Hwy,NA,Loganville,GA,30052,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-83.9567,33.8614,usda,NA
st_230212,COLLEGE PARK CHEVRON,A078552,4285,Roosevelt Hwy,NA,Atlanta,GA,30349,Convenience Store,3,Small retail,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-84.52797614,33.60877745,esri,NA
st_230237,RAILROAD PRODUCE,A273333,5145,Evitt St,NA,Ringgold,GA,30736,Direct Marketing Farmer,5,Local foods,2,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-85.10603,34.91613,usda,NA
st_230267,A 2 Z FOODMART,A019072,102,Atlantic Ave,NA,Bremen,GA,30110,Convenience Store,3,Small retail,4,0,0,1,1,1,1,0,0,0,0,0,0,0,0,-85.14860811,33.71953333,esri,PointAddress
st_230301,FOOD MART,A158321,1685,Old Norcross Rd,Ste 600A,Lawrenceville,GA,30046,Convenience Store,3,Small retail,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-84.05017848,33.95303372,esri,StreetAddress
st_230331,Mommies Babies,A238263,2865,Donald Lee Howell Ave. Suite B,NA,Atlanta,GA,30318,Combination Grocery/Other,2,Small retail,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-84.4813673,33.7810858,google,rooftop
