,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,store_name,addr_num,addr_st,addr_add,city,st,zip5,store_type,storeid,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,long,lat,address
37,37,418503,418503,$1 days,4130,SW Lombard Ave,Ste 100,Beaverton,OR,97005,Convenience Store,st_416542,0,0,0,0,0,0,0,0,0,1,-83.63511,43.05104,sw lombard ave beaverton or beaverton
38,38,10791,10791,$1 dollar plus store,1764,W Highland Ave,,San Bernardino,CA,92411,Convenience Store,st_010792,1,1,1,1,1,1,1,0,0,0,-94.5216312,39.05437951,w highland ave san bernardino ca san bernardino
39,39,42751,42751,$1 dollar plus store,24459,Sunnymead Blvd,,Moreno Valley,CA,92553,Convenience Store,st_042750,1,1,1,1,1,1,0,0,0,0,-82.59540384,33.2352272,sunnymead blvd moreno valley ca moreno valley
40,40,48048,48048,$1 king,146,W Base Line St,,San Bernardino,CA,92410,Convenience Store,st_048045,1,1,1,1,1,1,0,0,0,0,-71.45295641,42.9818755,w base line st san bernardino ca san bernardino
41,41,59308,59308,$1 plus store,1017,W Gardena Blvd,,Gardena,CA,90247,Convenience Store,st_059301,1,1,1,1,1,1,1,1,1,1,-95.401242,29.93173647,w gardena blvd gardena ca gardena
42,42,37159,37159,$1 smart outlet,126,W 40th St,,San Bernardino,CA,92407,Convenience Store,st_037158,1,1,1,1,1,1,1,1,1,1,-76.00870366,41.20193334,w 40th st san bernardino ca san bernardino
43,43,29836,29836,$1+ discount mart,19401,N Cave Creek Rd,Ste 5,Phoenix,AZ,85024,Medium Grocery Store,st_029836,1,1,1,0,0,0,0,0,0,0,-97.4943988,35.35650561,n cave creek rd phoenix az phoenix
44,44,275691,275691,$1.00 + supermarket,8951,Richmond Ave,,Houston,TX,77063,Convenience Store,st_275190,0,0,0,0,1,1,0,0,0,0,-73.9147,42.76949,richmond ave houston tx houston
45,45,203470,203470,$1.00 plus grocery,5530,Buford Hwy,Ste 302,Norcross,GA,30071,Convenience Store,st_203324,0,0,1,0,0,0,0,0,0,0,-112.00703,40.63859,buford hwy norcross ga norcross
46,46,7112,7112,$1.00 store,3846,Linden Ave,,Dayton,OH,45432,Convenience Store,st_007113,1,1,1,1,1,1,1,1,1,1,-76.58848331,39.22375147,linden ave dayton oh dayton
47,47,64970,64970,$1.25 mart or less,505,W Clinton Ave,,Fresno,CA,93705,Convenience Store,st_064961,1,1,1,1,1,1,1,0,0,0,-75.14295407,39.99712163,w clinton ave fresno ca fresno
48,48,46346,46346,$mart,102,E Main,,Lewistown,MO,63452,Small Grocery Store,st_046344,1,1,0,0,0,0,0,0,0,0,-77.12483703,39.06252599,e main lewistown mo lewistown
49,49,226349,226349,$mart mart llc,5624,Hall Rd,,Columbus,OH,43228,Convenience Store,st_226106,0,0,1,0,0,0,0,0,0,0,-76.9061,38.85556,hall rd columbus oh columbus
50,50,35989,35989,$ollar zone,12811,Victory Blvd,,North Hollywood,CA,91606,Convenience Store,st_035988,1,1,1,0,0,0,0,0,0,0,-82.12280415,41.41865341,victory blvd north hollywood ca north hollywood
51,51,215137,215137,$peedway fuel mart,2119,N Parkway E,,Jackson,TN,38301,Convenience Store,st_214947,0,0,1,1,0,0,0,0,0,0,-88.09934,42.04605,n parkway e jackson tn jackson
52,52,404075,404075,' a ' circle food mart,15446,14th St,,Dade City,FL,33523,Convenience Store,st_402274,0,0,0,0,0,0,0,0,0,1,-75.1599,39.95032,14th st dade city fl dade city
53,53,421661,421661,'oko'a farms,0,Omaopio Rd,,Kula,HI,96790,Direct Marketing Farmer,st_419677,0,0,0,0,0,0,0,0,0,1,-87.03075,33.46718,omaopio rd kula hi kula
54,54,286618,286618,(102) 4 brothers food store 102,287,Holly Springs Rd,,Mount Airy,NC,27030,Convenience Store,st_286011,0,0,0,0,1,1,1,1,1,1,-74.27173,40.52054,holly springs rd mount airy nc mount airy
