gisjn_ua,name_ua,fips_ua,STATE,Region,Division,year,99cent,dg,grocer,super,walmart,dg_add,grocer_drop,super_drop
G79687,"Sauk Centre, MN",79687,Minnesota,Midwest Region,West North Central Division,Y2017,0,0,1,2,1,0,0,0
G79714,"Sault Ste. Marie, MI",79714,Michigan,Midwest Region,East North Central Division,Y2017,0,0,1,3,1,0,0,0
G80335,"Seaside, OR",80335,Oregon,West Region,Pacific Division,Y2017,0,0,2,1,0,0,0,0
G80686,"Sequim, WA",80686,Washington,West Region,Pacific Division,Y2017,0,0,2,5,1,0,0,0
G80902,"Shady Side--Deale, MD",80902,Maryland,South Region,South Atlantic Division,Y2017,0,0,1,1,0,0,0,0
G80956,"Shallowater, TX",80956,Texas,South Region,West South Central Division,Y2017,0,0,1,0,0,0,0,0
G81415,"Shelton, WA",81415,Washington,West Region,Pacific Division,Y2017,0,0,4,3,1,0,1,0
G81496,"Shepherdstown, WV--MD",81496,West Virginia,South Region,South Atlantic Division,Y2017,0,0,1,0,0,NA,NA,NA
G81577,"Sheridan, OR",81577,Oregon,West Region,Pacific Division,Y2017,0,0,1,0,0,0,0,0
G81604,"Sheridan, WY",81604,Wyoming,West Region,Mountain Division,Y2017,0,0,3,4,1,0,0,1
G81847,"Sidney, NY",81847,New York,Northeast Region,Middle Atlantic Division,Y2017,0,0,1,2,0,0,0,0
G82036,"Silver City, NM",82036,New Mexico,West Region,Mountain Division,Y2017,0,0,2,2,0,0,0,0
G82076,"Silver Lakes, CA",82076,California,West Region,Pacific Division,Y2017,0,0,1,0,0,0,0,0
G82090,"Silverthorne--Frisco, CO",82090,Colorado,West Region,Mountain Division,Y2017,0,0,1,5,1,0,0,1
G82117,"Silverton, OR",82117,Oregon,West Region,Pacific Division,Y2017,0,0,2,2,0,0,0,0
G82198,"Sioux Center, IA",82198,Iowa,Midwest Region,West North Central Division,Y2017,0,0,1,2,0,0,0,0
G82387,"Skowhegan, ME",82387,Maine,Northeast Region,New England Division,Y2017,0,0,3,2,1,0,0,0
G82684,"Snowflake, AZ",82684,Arizona,West Region,Mountain Division,Y2017,0,0,2,1,0,0,0,0
G82846,"Soledad, CA",82846,California,West Region,Pacific Division,Y2017,0,0,4,1,0,0,0,0
G83008,"Sonoma, CA",83008,California,West Region,Pacific Division,Y2017,0,0,5,5,0,0,0,0
G83156,"South Deerfield, MA",83156,Massachusetts,Northeast Region,New England Division,Y2017,0,0,1,0,0,0,0,0
G83210,"South Fallsburg, NY",83210,New York,Northeast Region,Middle Atlantic Division,Y2017,0,0,3,1,0,0,1,0
G83305,"South Lake Tahoe, CA--NV",83305,California,West Region,Pacific Division,Y2017,0,0,4,5,0,0,1,0
G83368,"South Paris, ME",83368,Maine,Northeast Region,New England Division,Y2017,0,0,1,1,0,0,0,0
G83521,"Sparta, WI",83521,Wisconsin,Midwest Region,East North Central Division,Y2017,0,0,2,2,1,0,0,0
G83575,"Spearfish, SD",83575,South Dakota,Midwest Region,West North Central Division,Y2017,0,0,2,1,0,0,0,0
G83710,"Spirit Lake, IA",83710,Iowa,Midwest Region,West North Central Division,Y2017,0,0,1,4,1,0,0,0
G84115,"Springs, NY",84115,New York,Northeast Region,Middle Atlantic Division,Y2017,0,0,1,4,0,0,0,0
G84412,"Staples, MN",84412,Minnesota,Midwest Region,West North Central Division,Y2017,0,0,1,0,0,0,0,0
G84790,"Sterling, CO",84790,Colorado,West Region,Mountain Division,Y2017,0,0,1,3,1,0,0,0
G85276,"Sturgeon Bay, WI",85276,Wisconsin,Midwest Region,East North Central Division,Y2017,0,0,1,4,1,0,0,0
